Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Quality,F,W,A,E,Score,Value,Trait 1,Trait 2,Property 1,Property 2,Property 3,Property 4,Property 5,Description,Location 1,Location 2,Location 3,Location 4,Location 5,Monster 1,Monster 2,Monster 3,Monster 4,Notes
1,Spiky Fruit,1,(Plant),(Spiky Fruit),(Fruit),,40,0,0,15,0,25,4,Wind Power,,Spark Fruit,,,,,"A fruit with spikes that is found on trees. Any shock will cause it to shoot the spikes out, so handle with care.",Altugle Herb Garden,Herb Garden-Corridor,Nearby Forest,Mountain Way,Pasture Way,,,,,
2,Blue Spiky Fruit,11,(Plant),(Spiky Fruit),(Fruit),,50,0,5,30,0,34,10,Storm Power,,Hard,,,,,"An unripe spiky fruit with blue spikes. The spikes are harder, which makes gathering them a more difficult task.",Herb Garden-Corridor,Delusion Forest,Along Cliff Way,,,,,,,
3,Gold Spiky Fruit,26,(Plant),(Spiky Fruit),(Fruit),,70,10,0,40,0,44,18,Tempest Power,,Burst Fruit,,,,,A fruit with golden spikes for some reason. Looks like it'd really hurt if someone throws it at you...,Cloud Sea Island,Salt Desert-Lighthouse,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate,Alchemy Rat,,,,
4,Taun,1,(Plant),(Medic. Herb),,,40,0,5,0,15,25,4,Dirt Power,,Fix Slight Wound,,,,,"A medicinal herb with pink flowers. It grows anywhere like a weed, but it's great medicine when boiled.",Altugle Herb Garden,Herb Garden-Corridor,Mountain Way,Hidden Paradise,,Fruit Hamster,Poison Squirrel,,,
5,Big Taun,5,(Plant),(Medic. Herb),,,60,0,10,0,25,40,10,Rock Power,,Fix Wound,Big,,,,"A taun larger than normal. It seems more effective than regular ones, but it'll be used the exact same way.",Altugle Herb Garden,,,,,,,,,
6,Mutated Taun,16,(Plant),(Medic. Herb),(Poison),,70,0,10,15,10,40,14,Rain Power,Usage Control,Neural Poison,Quality Change,,,,"It's supposed to be a taun, but it's colored all funny. This does not bode well...",Herb Garden-Corridor,The Farthest Forest,Hidden Paradise-Earth,,,Bitter Squirrel,Jade Beast,,,
7,Trio Taun,20,(Plant),(Medic. Herb),,,90,0,15,0,45,57,21,Black Soil Power,Multiplication,Fix Major Wound,,,,,"Unlike a regular taun, it has 3 flowers because it grew a lot. I think it's cute!",Altugle Herb Garden,Herb Garden-Corridor,Beginning Island,Hidden Paradise-Fire,,Golden Rat,Green Element,,,
8,Baby's Breath,1,(Plant),(Flower),(Salt),(Fermented),40,0,0,15,0,26,4,Wind Power,,,,,,,A plant with translucent white flowers. It blooms all year long and is one of Nio's favorite flowers.,Half-Florescent Field,Hidden Paradise,,,,Grass Element,,,,
9,Luminous Grass,16,(Plant),(Medic. Herb),(Poison),,60,0,0,30,0,38,12,Storm Power,,Dark Vision,,,,,"A grass that glows at night. It's not enough to use as a light, but it's pretty when you find a field of them.",The Farthest Forest,Hidden Paradise-Earth,,,,,,,,
10,Moss Grass,2,(Plant),(Herb),(Smelly),(Oil),45,0,0,0,10,28,5,Good w/ Liquid,,Stinky,Repel Monster,,,,A plant with lots of moss that grows in damp places. It has a strong odor but has been used as an antidote for ages.,Dry Valley,Dry Valley-Lake Bed,Dry Valley-Ravine Way,Mountain Way,Hidden Paradise,,,,,
11,Bitter Moss Grass,12,(Plant),(Herb),(Smelly),(Oil),80,0,0,0,18,51,13,Nice w/ Liquid,,Bitter,Repel Monster,,,,"Far more bitter than the regular Moss Grass. Grandpa did say that the more bitter it is, the better...",Tunnel-Dried Waterway,Oesten Marsh-Swamp,Serenity Island,Beginning Island,Decayed Ruin Island,,,,,
12,Dried Moss Grass,18,(Plant),(Herb),(Smelly),(Dried Plant),65,23,0,0,25,45,14,Flame Power,Great w/ Liquid,Fainting in Agony,Monster Calling,,,,"Moss Grass that dried out, leaving a very bitter taste. Drying out regular Moss Grass wouldn't make it this bitter.",Serenity Island,Hidden Paradise-Water,,,,,,,,
13,Taro,1,(Food Ingredient),(Root),(Grain),(Nutritional),40,0,0,0,10,24,4,Well-Made,,Sturdy,,,,,"A big root veggie. It has to be dug up, so gathering it can be a pain. It eases fatigue when mixed with medicine.",Dry Valley,Hidden Paradise,,,,Tree Element,,,,
14,Hard Taro,12,(Food Ingredient),(Root),(Grain),(Nutritional),60,0,0,0,20,44,10,Well-Made,,Small,Some Nutrition,,,,"A smaller taro, but it's hard. Grating it is quite some work, but it's very sticky and, more importantly, nutritious.",Dry Valley,,,,,,,,,
15,Decade Taro,20,(Food Ingredient),(Root),(Grain),(Nutritional),80,0,0,0,45,51,18,Black Soil Power,Nicely Made,Full of Power,,,,,"A taro said to have grown for close to ten years. It's very big and hard to dig up, but it's also very nutritious.",Dry Valley-Lake Bed,Dry Valley-Ravine Way,Hidden Paradise-Fire,,,,,,,
16,Bear's Best,30,(Food Ingredient),(Root),(Grain),(Nutritional),100,0,20,0,50,62,28,Earth Power,Amazingly Made,Great Vitality,,,,,"A taro that bears secretly carry and won't let go. It's not that big, but it's super sticky when it's grated.",Hidden Paradise-Sky,,,,,Red Skin,War Bear,Cobalt Gale,,
17,Glasses Beans,7,(Food Ingredient),(Bean),(Grain),(Oil),30,0,0,0,15,20,5,Dirt Power,,,,,,,"A flat bean. It has an official name, but it looks like a lens so people call it this instead. Tasteless.",Riverside Way,,,,,,,,,
18,Red Devil Seed,12,(Plant),(Spice),(Gunpowder),,55,35,0,0,10,40,11,Scorching Hot,,Burns Your Tongue,,,,,"It's a bean with a creepy color. It's so spicy, people gave it this name. No one knows the official name.",Hallos Village,Beginning Island,Decayed Ruin Island,,,,,,,
19,Green Seed,17,(Food Ingredient),(Vegetable),,,85,0,15,0,30,53,18,Black Soil Power,Well-Made,Green Power,,,,,"A green Glasses Bean. When boiled, even children will eat it. But it's a bit rare to come by...",Waterfall Island,Cloud Sea Island,Hidden Paradise-Water,,,,,,,
20,Salat,5,(Food Ingredient),(Vegetable),,,50,0,15,0,0,33,7,Water Power,,,,,,,"A vegetable with big leaves. It grows quickly—about a month, really. That's why they call it the monthly vegetable.",Tunnel-Old Dam,Tunnel-Dried Waterway,,,,,,,,
21,Fresh Salat,9,(Food Ingredient),(Vegetable),,,60,0,20,0,0,42,9,Water Power,Good w/ Liquid,Some Nutrition,,,,,"A fresh salat. It still looks alive. When boiled, lots of water bubbles out and makes the pot overflow.",Along Cliff Way,,,,,,,,,
22,White Salat,22,(Food Ingredient),(Vegetable),,,90,0,40,0,15,65,21,Flood Power,Stable Matter,Soft,Full Nutrition,,,,A very rare white salat. It's sweeter than a normal one and can be used as dessert. Why does this one taste different?,Riesengang-Lower,Hidden Paradise-Fire,,,,,,,,
23,Stump Mushroom,4,(Food Ingredient),(Vegetable),,,40,0,0,0,10,26,4,Usage Control,,,,,,,Mushrooms that grow on stumps in the forest. It's great in soups. Everyone knows what these are!,Dry Valley-Ravine Way,Half-Florescent Field,Hidden Paradise,,,Tree Element,,,,
24,Smoke Mushroom,7,(Plant),(Gunpowder),,,60,10,0,0,20,42,9,Dirt Power,Usage Control,Stinky,Very Bitter,,,,"It looks like a normal mushroom, but smoke comes out when you roast it. Maybe it's better if you don't eat it.",Constant Bower Woods,,,,,,,,,
25,Darkness Shoot,14,(Plant),(Poison),,,70,0,10,0,20,43,13,Heighten Power,Division,Visual Poison,,,,,"A mushroom that pretty much blinds you. People experimented with it, but I don't really want to test it out...",Tunnel-Dried Waterway,,,,,,,,,
26,Jagged Leaf,6,(Plant),(Herb),,,50,0,0,5,15,36,7,Wind Power,,Very Nice Smell,,,,,A plant with jagged leaves because it grew in a rough and dry environment. It's not as hard as it looks.,Harvestful Forest,,,,,,,,,
27,Metal Leaf,9,(Plant),(Herb),,,40,0,0,15,10,25,7,Wind Power,,Sharp Spike,Hard,,,,A plant with dry jagged leaves that hurt. You have to know how to gather them. It smells sweet when you crush it.,Delusion Forest,,,,,,,,,
28,Hard Jagged,15,(Plant),(Herb),(Dried Plant),,70,0,0,15,20,41,14,Storm Soul,Great w/ Ore,Evolve Materials,,,,,A plant with completely dried and painful jagged leaves. It'll never soften up and it's hard to gather.,Waterfall Island,Cloud Sea Island,,,,Mirage Element,,,,
29,Moon Leaf,7,(Plant),(Medic. Herb),(Oil),,55,0,0,20,0,36,8,Wind Power,Good w/ Liquid,,,,,,"A leaf from a tall and thin plant. It can be used as a spice and have oil extracted from it, as well.",Grassland Hill,Riverside Way,,,,,,,,
30,Bitter Leaf,10,(Plant),(Seasoning),,,65,0,0,20,5,44,10,Storm Power,,Bitter,,,,,Bitter juice can be extracted by pulverizing this dry leaf. I think it can be used for cooking.,Delusion Forest,,,,,,,,,
31,Soft Leaf,15,(Plant),(Seasoning),(Salt),,80,15,0,30,15,55,18,Tempest Power,Nice w/ Liquid,Salty,,,,,A leaf that tastes salty. People who can't get salt use this to cook with instead. It's too salty for medicine.,Salt Desert,Salt Desert-Hill,Salt Desert-Bones,,,,,,,
