Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Synth. Days,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,F,W,A,E,Trait 1,Trait 2,Description
1,Portable Container,23,(Adventure),(Lumber),(Mystery),(Antique),3,(Lumber),(Mystery),Steel Yarn Ball,Bottomless Pot,0,10,15,45,Earth Power,,A convenient container. The inside is connected with the one in the workshop. How's it work? Alchemy is amazing!
2,Basket,15,(Adventure),(Plant),(String),(Antique),1,(Cloth),(Paper),Strong Yarn,(Feather),0,15,15,30,Dirt Power,,"A basket made for gathering. It holds lots of things. The better the material, the more things it can carry."
3,Speculator Die,19,(Adventure),(Mystery),(Jewel),(Antique),2,(Access. Ing.),(Solution),Silver Liquid,Polish Powder,15,20,30,0,Storm Power,,It's like a good luck charm for gamblers. Just keeping it on you makes you feel luckier.
4,Nomadic Shoes,20,(Adventure),(Cloth),(String),(Antique),3,(Leather),Steel Yarn Ball,(Lumber),(Scale),15,20,10,40,Black Soil Power,,A pair of shoes with wings. They kind of look used. Walking with these on makes you faster and less tired.
5,Corrective Glasses,21,(Adventure),(Precious Ore),(Lucky Charm),(Antique),2,Glass Rod,(Jewel),Soft Metal Rod,,25,0,35,0,Storm Power,,A convenient lens that lets you find anything you dropped. It makes your gathering a bit more effective.
6,Zettel,7,(Sundry),(Paper),(Filter),,1,(Plant),(Liquid),Wax,,0,10,0,20,Well-Made,,"A regular piece of paper you use all the time. It can become a book, a bag, or anything. It's timeless!"
7,Pulp Paper,4,(Sundry),(Paper),(Filter),,1,(Plant),(Liquid),,,0,5,5,10,Wind Power,,"A rough piece of paper. It can be made cheap, but it's not good to write on. It's best as a bag."
8,Half Paper,17,(Sundry),(Paper),(Filter),,1.5,(Lumber),Memory Ink,(Solution),Detergent,5,15,20,25,Wind Power,Good w/ Plants,"Slippery paper that doesn't soak in any ink. It's soft, so handling it rough will crumple it easily."
9,Magisha Sheet,23,(Sundry),(Paper),(Filter),,1,(Lumber),(Mystery),(Ancient Word),Everpure Water,20,20,30,20,Storm Power,Division,This sturdy paper is used by witches to write down their charms. I'm sure this paper will last a long time.
10,Leather,11,(Sundry),(Cloth),,,1,(Leather),(Solution),(String),,0,0,0,20,Dirt Power,,Processed animal fur that's been tanned. It has been used as clothing or bags for a long time. Hunters love it.
11,Beast Leather,21,(Sundry),(Cloth),,,1,Cryptid Fur,Everpure Water,(Oil),(String),0,20,35,25,Tempest Power,Expand Power,"Leather that's been made to recreate the look of fur. It's sturdy, but it's also soft to the touch."
12,Hard Skin,14,(Sundry),(Cloth),,,1,(Leather),(Solution),Cow Cream,(String),15,10,0,25,Dirt Power,Well-Made,"Leather that's harder than normal. It's tough, but it's not flexible at all. It might be hard to process it."
13,Fortified Leather,18,(Sundry),(Cloth),,,1,(Leather),(Solution),(Oil),(String),10,0,15,25,Rock Power,Usage Control,"Leather that's been tanned with lots of care. It's soft and flexible, so it can be treated roughly."
14,Polish Powder,7,(Sundry),,,,1,(Ore),(Clay),,,5,5,5,25,Dirt Power,,"Hard, fine sand. You can polish metals or jewels with this to shine them up. Good on kitchen knives, too!"
15,Grain Powder,6,(Synthesis),(Food Ingredient),(Gunpowder),,1,(Grain),(Grain),,,0,10,5,20,Dirt Power,,Pulverized grain. Knead this to make bread and other foods. It's a staple food and also a great synthesis ingredient.
16,Bone Powder,28,(Synthesis),(Medic. Ing.),(Poison),,1,(Bone),(Fuel),(Mystery),,20,20,10,25,Dirt Power,,"Pulverized bone has been used as medicine for ages. It can make good or bad drugs, so it must be handled with care."
17,Clean Pollen,16,(Synthesis),(Medic. Ing.),(Incense),(Fermented),1,(Flower),(Flower),,,15,0,35,0,Wind Power,,Pollen that can be seen with the naked eye. But gathering too much of it will make your eyes itch and nose run...
18,Glass Powder,13,(Synthesis),,,,1,Glass Core,(Ore),(Fuel),,0,10,15,25,Rock Power,Nice w/ Ore,Powder made by pulverizing glass. It's white in color and can be used in synthesis.
19,Black Powder,9,(Synthesis),(Gunpowder),,,1,Fire Stone,(Gunpowder),(Oil),,30,0,0,15,Fire Power,,"Process flammable things to make this. You can burn it to see a pretty flame. It can get blown away, so it's dangerous."
20,Secret Spice,26,(Synthesis),(Spice),(Seasoning),,1,Epicure Nut,(Spice),Red Devil,(Seasoning),45,15,15,20,Hellfire Power,Great w/ Liquid,Plants were processed to make this special spice mix. It can add flavor (and fun) to anyone's cooking.
21,Coarse Salt,8,(Synthesis),(Seasoning),,,1,(Salt),(Liquid),(Fuel),,0,0,10,15,Good w/ Liquid,,"Coarse, crystallized salt. Some regions prize this, as they have difficulty getting any salt at all."
22,Handmade Pot,7,(Sundry),(Pottery),(Antique),,1,(Clay),(Liquid),(Fuel),,10,0,0,30,Rock Power,,"A pot I made myself. It can preserve whatever's inside and hold water. It's heavy and fragile, so handle with care."
23,Preserve Pot,12,(Magic Tool),(Pottery),(Antique),,1.5,(Clay),(Liquid),(Fuel),Coarse Salt,0,15,15,35,Black Soil Power,Usage Ease,"A big pot made to preserve whatever's inside. It's shock resistant to an extent, but it'll crack when mishandled."
24,Genug Blessing Pot,25,(Magic Tool),(Pottery),(Water),(Antique),2,(Pottery),Everpure Water,Nimbus Stone,(Precious Ore),10,50,0,25,Flood Power,Heighten Power,"It may look ordinary, but this mysterious magic pot will survive any drop to the ground."
25,Bottomless Pot,18,(Magic Tool),(Pottery),(Antique),,1,(Pottery),Night Fog Bottle,(Gemstone),(Mystery),20,0,30,35,Black Soil Power,Usage Null,"It's a bit tall, so you can't see the inside bottom. It can store way more than you could ever carry, so be careful."
26,Goddess Pot,35,(Magic Tool),(Pottery),(Antique),(Metal),2,(Pottery),Pixie Breath,Scorching Drink,Grain Powder,20,40,20,50,Earth Power,Amazingly Made,"A long time ago, the goddess put water inside and scattered it around the world to make rain. So it can hold a lot."
27,Pressed Oil,7,(Sundry),(Liquid),(Fuel),,1,(Plant),(Oil),(Incense),,20,10,0,0,Fire Power,,"Oil extracted from plants and other things. It oozes out and is sticky. It smells, but it's very versatile."
28,Liquid Butter,11,(Sundry),(Liquid),(Fuel),(Fermented),1,(Milk),(Solution),(Supplement),,10,15,0,15,Dirt Power,Well-Made,"A sticky liquid butter. It can be put on bread, but it might be too oily. It'll need some work..."
29,White Oil,20,(Sundry),(Liquid),(Seasoning),,1,(Fuel),(Oil),Flan Charcoal,,35,15,0,0,Flame Power,,"A concentrated oil extract, so it's white. Heavy tasting, but useful depending on the dish. This will make you fat."
30,Distilled Water,12,(Synthesis),(Liquid),(Solution),,1,(Water),(Supplement),(Filter),,15,40,15,15,Flood Power,Great w/ Liquid,"Water that's distilled to remove any impurities. It's tasteless, but it's good for syntheses that use water."
31,Everpure Water,33,(Synthesis),(Liquid),(Solution),,2,Distilled Water,(Charcoal),(String),Preserve Pot,0,50,25,25,Rain Soul,Permanent Trait,Even more pure water made by modifying the distillation process. It must be great to use water with such purity!
32,Memory Ink,14,(Sundry),(Liquid),(Solution),,1,(Charcoal),(Liquid),(Oil),(Supplement),0,20,0,20,Usage Ease,,Ink used to record a variety of things. It's used in old tomes. This ink will stick around long after it dries.
33,Glass Rod,17,(Sundry),(Synthesis),,,1,Glass Powder,Glass Powder,(Fuel),,0,0,10,45,Black Soil Power,,"A rod made of glass. Useless on its own, but you just have to change your thinking to figure out its uses."
34,Wax,6,(Sundry),(Fuel),,,1,(Bee Hive),(Bee Hive),(Fuel),,20,0,0,10,Fire Power,,Lighting it on fire makes it slowly melt. It's always been used for lighting. The town is bright thanks to candles.
35,Bean Milk,11,(Food),(Liquid),(Milk),,1,(Bean),(Water),(Fuel),,20,0,0,10,Fire Power,,A concentrated juice extracted from beans. Fresh beans must be used and extracted slowly to make it right.
36,Gelatinous Oil,15,(Sundry),(Fuel),(Slime),,1,Lump of Fat,Dried Fat,(Solution),,30,15,10,0,Fire Power,,"Jelly-like oil. Liquid stuff can be used the same way, but this one is stored and used differently."
37,Corundum,20,(Jewel),(Metal),(Precious Ore),,1,Corundum Stone,Polish Powder,(Liquid),(Cloth),25,10,15,40,Black Soil Power,,A hard clump made by extracting iron from ore. This is harder and simpler to process. Most tools are made from this.
38,White Obsidian,30,(Jewel),(Precious Ore),,,2,(Gemstone),Polish Powder,(Liquid),(Cloth),0,30,35,25,Tornado Power,,"A block made by solidifying the white, shining minerals. It can be processed to make tools last longer than iron."
39,Diamond Ball,35,(Jewel),(Precious Ore),,,2,Diamond Gemstone,Glass Powder,Silver Liquid,Flan Charcoal,35,25,0,50,Earth Power,Rock Soul,Parts of hard minerals are extracted to make this. It's so hard that tools made from this won't break easily.
40,Gold,40,(Synthesis),(Metal),(Jewel),(Precious Ore),5,Moon's Gold Vein,Medical Solution,Scorching Drink,Pixie Breath,45,30,0,50,Permanent Trait,Release Power,Continually refining the gold in minerals yielded this. It's probably very valuable. It's sort of a waste to use...
41,Soft Metal Rod,11,(Synthesis),(Metal),,,1,(Ore),(Fuel),(Supplement),,15,0,0,25,Rock Power,,"A soft metal rod that contains many properties. It's pliable, so it has many different uses."
42,Dried Medical Herb,4,(Synthesis),(Medic. Ing.),(Dried Plant),(Fermented),1,(Medic. Herb),(Fuel),(Water),,5,0,15,5,Wind Power,,A dried medicine ingredient. Drying these concentrates their properties. Apothecaries have known this for ages.
43,Dry Herb,8,(Sundry),(Incense),(Dried Plant),(Fermented),1,(Herb),(Fuel),(Oil),,15,5,20,0,Wind Power,Fire Power,A dried herb. It lasts longer and prevents the properties from changing. I think it has uses besides medicine.
44,Tea Leaf,8,(Synthesis),(Incense),(Dried Plant),(Fermented),1,(Medic. Herb),(Fuel),(Fermented),,10,20,30,0,Storm Power,Great w/ Liquid,Drying and aging herbs a certain way can yield good tea. But it can be a lot of work.
