Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Crafting Days,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,F,W,A,E,Trait 1,Trait 2,Description
1,Scent Bag,3,(Sundry),(Incense),,,1,(Plant),(Smelly),(Paper),,5,0,15,5,Dirt Power,,This bag has a pungent scent that most animals hate. The shock from throwing it will make it explode.
2,Craft,6,(Bomb),,,,1,(Spiky Fruit),(Gunpowder),(Paper),,0,0,0,20,Dirt Power,,A bomb made from a nut. Throwing it will shoot out spikes everywhere. I better be careful with it.
3,Bright Craft,22,(Bomb),,,,1,Craft,(Mystery),(Fuel),(Supplement),0,0,0,35,Rock Power,,"A craft with lots of bombs stuffed inside it. It's probably stronger, but it seems like it's about to pop."
4,Bomb,8,(Bomb),,,,1,(Fuel),(Gunpowder),(Supplement),,20,0,0,0,Fire Power,,A regular bomb. Making this is the first step in becoming an alchemist. Maybe alchemists are all bomb makers.
5,Zeit Bomb,24,(Bomb),,,,1.5,Phlogiston,Flan Charcoal,(Paper),(Supplement),40,0,0,0,Hellfire Power,,"A bomb made by tying several together. It looks dangerous. Now that I made it, I have to use it. I'm getting nervous..."
6,Ice Bomb,10,(Bomb),,,,1,Water Crystal,(Liquid),(Supplement),,0,20,0,0,Rain Power,,"A very cold bomb that freezes whatever it touches. You get frostbite from touching it, so handle with care."
7,Eis Ice Bomb,26,(Bomb),,,,1.5,Never-Melting Ice,(Junk),(Gunpowder),(Supplement),0,40,0,0,Flood Power,,A powerful Ice Bomb that's stronger than normal. I still don't get how something freezes after exploding. It's alchemy!
8,Lightning Bomb,15,(Magic Tool),,,,1,(Ore),(Salt),(Water),(Supplement),0,0,25,0,Storm Power,,A mysterious bomb that encases lightning. Throwing it at someone will shock them. The light chases away baddies.
9,Lightning Stern,28,(Magic Tool),,,,1.5,(Gemstone),(Mystery),Wind Core,Polish Powder,0,0,40,0,Tempest Power,,A bomb with strong lightning inside. I wonder if there's any other use for it besides chasing away enemies.
10,Exa-Bomb,33,(Bomb),,,,2,Fire Spirit Breath,(Paper),(Gunpowder),(Fuel),55,0,0,0,Fire Power,,"A very powerful bomb. It's small in size, but very dangerous. It has preventative measures to curb accidents..."
11,Himmel Schenk,25,(Magic Tool),,,,1.5,Star Stone,(Ancient Word),(Gunpowder),(Supplement),25,5,25,0,Water Power,,"A weird bomb in a weird shape. Something falls from the sky when used, but no one knows what will happen."
12,Divine Oracle,30,(Magic Tool),(Book),,,1.5,(Paper),(Mystery),Memory Ink,(Feather),15,20,15,15,Water Power,,"A book written by amazing people in the past. Reading makes me think I'll come up with ideas, but I feel sleepy."
13,Flame Aqua,4,(Magic Tool),(Liquid),(Solution),,1,(Fuel),(Liquid),,,15,0,0,0,Fire Power,,A strange liquid that burns up the moment it is released. I can't think of any use but throwing it at enemies.
14,Ice Aqua,20,(Magic Tool),(Liquid),(Solution),(Slime),1,(Water),Coarse Salt,,,0,20,0,0,Water Power,,A strange liquid that freezes the moment it is released. I can't think of any use but throwing it at enemies.
15,Poison Aqua,4,(Magic Tool),(Liquid),(Solution),,1,(Poison),(Liquid),,,0,0,0,25,Dirt Power,,"A liquid with poisonous properties. I wonder if I can throw it at enemies. Anyway, I better be careful."
16,Black Eclipse,35,(Magic Tool),,,,2.5,(Bomb),(Jewel),Scorching Drink,Genesis Capsule,35,15,0,50,Permanent Trait,,"It's a weird black magic circle. It has ancient writing on it, but I have no idea what it says."
17,Magic Square,38,(Magic Tool),,,,3.5,Pixie Breath,Diamond Ball,(Precious Ore),(Legendary),25,25,50,10,Storm Soul,,A magic circle with mysterious power. I feel like I'm getting sucked into its aura. I wonder what the writing means.
18,Riesen Ointment,3,(Medicine),(Ointment),(Fermented),,1,(Medic. Herb),(Oil),(Root),,0,20,0,0,Water Power,,"My own ointment, good for wounds, fatigue, and lower back pain. It's small and portable, so it's good to keep on you."
19,Powerful Ointment,15,(Medicine),(Elixir),(Tonic),,1.5,(Nutritional),(Incense),Cow Cream,(Root),0,15,10,20,Rock Power,,An ointment that's stronger than my Riesen Ointment. It heals and strengthens the user.
20,Wonder Cream,26,(Medicine),(Ointment),,,1,(Elixir),(Solution),Dried Medical Herb,Tonic,0,25,0,20,Earth Power,,The most powerful topical medicine. It's so effective that you'll get addicted after you use it once.
21,Squash Tea,10,(Medicine),(Tranquilizer),,,1,(Water),Tea Leaf,(Fruit),(Pottery),0,25,0,0,Water Power,,"Drinking it will wake you up. It's for migraines, so it's perfect for when you want to concentrate on your work."
22,Clearing Decoction,9,(Medicine),(Tranquilizer),,,1,(Water),Dry Herb,(Root),(Spice),0,20,5,5,Rain Power,,Drinking it will wake you up. One drink and you can read books for hours. Unless you already like books...
23,Disease Ward,23,(Medicine),(Cold Medic.),,,1,Medicinal Leaf,(Water),(Poison),(Supplement),0,45,0,10,Drizzle Power,,People say that you get sick in your mind first. Drinking this will make you feel better instantly.
24,Anti-Sick Powder,8,(Medicine),(Cold Medic.),,,1,(Dried Plant),(Meat),(Incense),,0,0,20,0,Wind Power,,It's medicine for when you get sick. It's also great for when you're feeling tired.
25,Body Energy Powder,14,(Medicine),(Elixir),(Tonic),,1,(Tonic),(Nutritional),(Root),(Fuel),0,0,20,0,Well-Made,,"This activates the body's energy to help you recover. It does it naturally, so even older people can use it."
26,Mineral Powder,16,(Medicine),(Tonic),,,1,Liquid Crystal,(Elixir),(Sweetener),(Medic. Ing.),0,10,5,10,Wind Power,,"A powder with many nutrients the body needs. People with an unbalanced diet get sick easier, so this fixes that."
27,Worker Compress,12,(Sundry),(Tranquilizer),,,1,(Cloth),(Oil),(Medic. Herb),Body Energy Powder,0,15,0,15,Well-Made,,A compress patch for the hard workers out there. It refreshes even the deepest layer of your muscles.
28,Body Compress,22,(Sundry),(Cold Medic.),,,1,(Cloth),(Spice),(Clay),(Solution),20,20,0,0,Usage Control,,"This compress adjusts the body temperature of wherever it is attached. If cooling it is better, it auto-adjusts."
29,Medical Patch,7,(Sundry),(Ointment),,,1,(Paper),Riesen Ointment,Honey,,0,5,0,10,Well-Made,,A patch for home use that treats neck and back pain. You'll need someone's help if you want it on your back.
30,Secret Remedy,31,(Medicine),(Tonic),,,1,(Meat),(Spice),(Tonic),(Nutritional),15,0,50,0,Tornado Power,,"A remedy that doubles the speed of recovery. It tires your body a bit, so older people should avoid it."
31,Silent Pill,29,(Medicine),(Tranquilizer),,,1,Reaper Herb,(Slime),(Medic. Ing.),(Nutritional),10,0,35,10,Tempest Power,,"You'll need courage to take this big pill. It tastes really bitter, so you'll have to swallow it whole."
32,One Drop Recovery,20,(Medicine),(Ointment),,,1,(Medic. Herb),(Root),(Oil),Nectar Water,10,0,35,10,Tempest Power,,"Each piece is small, but potent. Once swallowed, the body absorbs it readily, so it's good when you need it."
33,Mental Extract,24,(Medicine),(Tranquilizer),,,1,Awakening Herb,(Dried Plant),(Liquid),(Sweetener),0,45,0,5,Drizzle Power,,A capsule with slimy liquid inside. The capsule melts in your stomach. This might take some time getting used to.
34,Forbidden Capsule,34,(Medicine),(Tonic),,,1,Bone Powder,(Poison),Dunkelheit,(Ore),30,30,30,30,Nicely Made,Nice w/ Liquid,A medicine so strong that it became forbidden. I don't care as long as it cures illnesses. I should still be cautious...
35,Aroma Mist,17,(Magic Tool),(Incense),,,1,(Incense),(Flower),(Liquid),Glass Rod,0,15,25,0,Storm Power,,This scented water can be misted on you. Maybe trendy people like to do this to themselves. Spray your room.
36,Sprayer Talisman,18,(Magic Tool),(Solution),,,1,(Junk),Anti-Bug Grass,(Mystery),Glass Rod,0,35,10,0,Rain Power,,"I don't smell anything, but monsters hate the smell of this liquid. I don't know how effective it is though."
37,Passion Perfume,19,(Magic Tool),(Incense),,,1,Clean Pollen,Lady's Beard,(Tonic),(Liquid),0,40,0,0,Water Soul,,"This smell makes my heart feel hot deep down. If I keep smelling it, my heart races. What do people use this for?"
38,God's Miracle Drug,40,(Medicine),(Ointment),(Cold Medic.),(Tranquilizer),3,Time Guard Flower,(Elixir),(Legendary),Dunkelheit,0,50,35,25,Amazingly Made,Release Power,A medicine that they say God made. Maybe disease would disappear completely if I could make a lot of these.
39,Baguette,3,(Food),(Bread),,,3,(Grain),(Seasoning),(Fermented),,5,0,0,15,Dirt Power,,"This bread is hard on the outside and soft inside. You can eat it as is, but toasting it makes it better."
40,Royal Baguette,18,(Food),(Bread),,,1.5,Grain Powder,Liquid Butter,(Seasoning),(Fermented),15,0,0,25,Heighten Power,,They say this baguette sells out the moment it hits the shelves. I'd feel so happy if I could eat it every day.
