,en,,ja,,Type,Properties,Level,evalue,Fire,Water,Wind,Earth,Categories,Effect,Item Size,Equipped by,HP,MP,ATK,DEF,SPD,res f,res w,res wi,res e,Locations,Dropped by,index
bullet-seed,Bullet Seed,"A bullet-shaped seed. It's quite hard, but is also edible in a pinch.",木弾の実,弾丸のような形をした木の種子で、堅いため実際に当たると痛い。非常食でもある,Material,",,,,",1,10,1,0,0,0,"grain,gunpowder,oil,spark",50,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,,","poison-squirrel,,,,,",1
wind-flower,Wind Flower,A cute flower that looks like a spirit swaying in the wind.,風の精の花,野山で見られるかわいい花。風に揺らぐ様が風の精霊にたとえられている,Material,",,,,",2,15,0,0,1,0,"plant,medic-ing,,",50,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,,",",,,,,",2
earth-flower,Earth Flower,A cute flower that grasps the earth with its roots like a spirit.,土の精の花,野山で見られるかわいい花。地に根を下ろす様が土の精霊にたとえられている,Material,",,,,",4,15,0,0,0,1,"plant,medic-ing,,",60,,",,,,,,,,,,",,,,,,,,,,"old-highway,,","ore-rat,,,,,",3
water-flower,Water Flower,A cute flower with a fresh scent like that of a water spirit.,水の精の花,野山で見られるかわいい花。みずみずしさがあり水の精霊にたとえられている,Material,"fixed-healing,,,,",10,25,0,1,0,0,"plant,medic-ing,,",70,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,,",",,,,,",4
fire-flower,Fire Flower,A cute flower with curling petals resembling a fire spirit's flames.,火の精の花,野山で見られるかわいい花。ゆらゆら揺れる様が火の精霊にたとえられている,Material,"fixed-increase,,,,",15,35,1,0,0,0,"plant,medic-ing,,",80,,",,,,,,,,,,",,,,,,,,,,"searing-wastes,,",",,,,,",5
bent-screw,Bent Screw,"A worn-out screw. It's bent, stripped, and can't be used.",ゆがんだネジ,使い古しのネジ。折れ曲がっていたりして、このままでは使えそうにない,Material,"recycle,,,,",1,10,0,0,0,1,"metal,antique,,",30,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,old-highway,","bad-treasure,,,,,",6
rusty-cog,Rusty Cog,A gear from an unknown machine. It's rusty and doesn't spin well.,さびた歯車,何の機械に使われていたのか分からない歯車。さびているため上手く回らない,Material,"recycle,,,,",2,15,0,0,1,0,"metal,antique,,",30,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,old-highway,","bad-treasure,,,,,",7
grain-scraps,Grain Scraps,"Crushed grain. Not very appetizing, but actually quite nutritious.",ひき割りくず,脱穀したときに出来た、割れて細かくなった穀物。見た目は悪いが栄養は満点,Material,",,,,",2,15,0,0,0,1,"grain,,,",30,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,old-highway,",",,,,,",8
antique-stone,Antique Stone,A manmade stone used in some structures. This one is very old.,年代物の石材,何かの建造物に使われていたと思われる、人工の石材。表面の様子だと相当古そうだ,Material,",,,,",4,15,0,0,0,1,"ore,antique,,",60,,",,,,,,,,,,",,,,,,,,,,"old-highway,ends-of-the-earth,","fake-ruin,,,,,",9
scrap-metal,Scrap Metal,Various pieces of mechanical scrap. It's of little value like this.,くず鉄,大きさも形もまちまちの機械の残骸。このままでは大した価値はない,Material,"recycle,,,,",3,15,1,0,0,0,"metal,antique,,",40,,",,,,,,,,,,",,,,,,,,,,"old-highway,,","ore-rat,bad-treasure,pandora,,,",10
mixed-oil,Mixed Oil,"Putrescent, noisome oil. It would be difficult to use like this.",混ざり油,色々な種類が混ざってしまった油。くさい。今のままでは油として使うのは困難,Material,"critical,,,,",5,20,1,0,0,0,"fuel,smelly,liquid,",60,,",,,,,,,,,,",,,,,,,,,,"old-highway,,",",,,,,",11
paper-scraps,Paper Scraps,A tiny scrap of paper that's falling apart.,紙くず,粉々に破けている古い紙。文字を書けなくはないが、スペースはほとんどない,Material,"recycle-plus,,,,",3,15,0,0,0,1,"paper,fuel,,",40,,",,,,,,,,,,",,,,,,,,,,"southern-ruins,,","fake-ruin,,,,,",12
garden-stone,Garden Stone,"Hold up this stone to light, and it appears to have scenery inside.",箱庭の原石,光にかざすと、まるで小さな景色がそのまま取り込まれてしまったかのように見える石,Material,"inherit-pp-5,,,,",6,20,0,1,0,0,"ore,mystery,,",60,,",,,,,,,,,,",,,,,,,,,,"southern-ruins,,",",,,,,",13
pendelock,Pendelock,A pale blue crystal said to be the soul and tears of a mystic force.,ペンデローク,この世のモノでない生物の魂とも涙とも言われている、青白く輝く結晶,Material,"evade-ailments,all-stats-2,,,",8,10,1,0,1,0,"mystery,jewel,,",70,,",,,,,,,,,,",,,,,,,,,,"old-highway,southern-ruins,","deep-woods-spirit,mirage-element,yellow-element,,,",14
eternal-liquid,Eternal Liquid,A poisonous liquid used for preserving things from rot.,とこしえの液体,中に沈めた物が腐りにくくなる薬品。この液体自体は毒薬なので注意が必要だ,Material,",,,,",5,20,0,1,0,0,"liquid,medic-ing,smelly,",60,,",,,,,,,,,,",,,,,,,,,,"upland-forest,,",",,,,,",15
soul-vine,Soul Vine,A vine that seems to form letters. It's said to give voice to the mute.,ソウルバイン,文字の形を作るという植物のつる。声なき声を文字にすることが出来るという,Material,"binding,,,,",6,20,0,0,0,1,"plant,mystery,,",60,,",,,,,,,,,,",,,,,,,,,,"upland-forest,,","fell-sickle,,,,,",16
green-soil,Green Soil,Greenish soil. It's fluffy and passes water and air well.,深緑の土,緑がかった土。ふかふかしていて水はけや空気の通りがよさそうだ,Material,"wind-curse,speed-6,,,",4,15,0,0,1,0,"clay,plant,,",60,,",,,,,,,,,,",,,,,,,,,,"twilight-forest,upland-forest,","green-spirit,,,,,",17
crimson-soil,Crimson Soil,Deep red soil. It's fluffy and probably makes good fertilizer.,深紅の土,濃い赤色の土。ふかふかしていて肥料に使うとよく効きそうに見える,Material,"fire-curse,attack-power-6,,,",6,20,1,0,0,0,"clay,medic-ing,,",60,,",,,,,,,,,,",,,,,,,,,,"upland-forest,,","red-spirit,,,,,",18
ultramarine-soil,Ultramarine Soil,Bluish soil. Its color may be due to small mineral particles.,群青の土,青みがかった土。見かけない色のため、細かい鉱物を含んでいるのかも知れない,Material,"water-curse,mp-10,,,",8,25,0,1,0,0,"clay,ore,,",70,,",,,,,,,,,,",,,,,,,,,,"abandoned-river,,","blue-spirit,,,,,",19
